name,first,last,initials,pos,tags
janet gaynor,jnt,gnr,jg,PN,famous
robert montgomery,rbrt,mntgmr,rm,PN,famous
george raft,grg,rft,gr,PN,famous
george bancroft,grg,bncrft,gb,PN,famous
shirley booth,shrl,bth,sb,PN,famous
walter brennan,wltr,brn,wb,PN,famous
gary cooper,gr,cpr,gc,PN,famous
joan crawford,jn,crwfrd,jc,PN,famous
dolores del río,dlrs,rí,check,PN,famous
elsa lanchester,ls,lnchstr,el,PN,famous
myrna loy,mrn,l,ml,PN,famous
laurence olivier,lrnc,lvr,lo,PN,famous
walter pidgeon,wltr,pdgn,wp,PN,famous
ginger rogers,gngr,rgrs,gr,PN,famous
margaret rutherford,mrgrt,rthrfrd,mr,PN,famous
lee strasberg,l,strsbrg,ls,PN,famous
lou costello,l,cstl,lc,PN,famous
bing crosby,bng,crsb,bc,PN,famous
william demarest,wlm,dmrst,wd,PN,famous
paulette goddard,plt,gdrd,pg,PN,famous
nancy kelly,nc,kl,nk,PN,famous
charles laughton,chrls,lghtn,cl,PN,famous
j. carrol naish,j.,nsh,check,PN,famous
luise rainer,ls,rnr,lr,PN,famous
sylvia sidney,slv,sdn,ss,PN,famous
jessica tandy,jsc,tnd,jt,PN,famous
franchot tone,frncht,tn,ft,PN,famous
joan blondell,jn,blndl,jb,PN,famous
melvyn douglas,mlvn,dgls,md,PN,famous
george kennedy,grg,knd,gk,PN,famous
joel mccrea,jl,mcr,jm,PN,famous
ann sothern,n,sthrn,as,PN,famous
eve arden,v,rdn,ea,PN,famous
buddy ebsen,bd,bsn,be,PN,famous
henry fonda,hnr,fnd,hf,PN,famous
jean harlow,jn,hrlw,jh,PN,famous
van heflin,vn,hfln,vh,PN,famous
katharine hepburn,kthrn,hpbrn,kh,PN,famous
miriam hopkins,mrm,hpkns,mh,PN,famous
dean jagger,dn,jgr,dj,PN,famous
anna magnani,n,mgn,am,PN,famous
merle oberon,mrl,brn,mo,PN,famous
katina paxinou,ktn,pxn,kp,PN,famous
randolph scott,rndlph,sct,rs,PN,famous
diana wynyard,dn,wnrd,dw,PN,famous
peggy ashcroft,pg,shcrft,pa,PN,famous
lew ayres,lw,rs,la,PN,famous
ralph bellamy,rlph,blm,rb,PN,famous
jackie cooper,jck,cpr,jc,PN,famous
bette davis,bt,dvs,bd,PN,famous
james dunn,jms,dn,jd,PN,famous
judy garland,jd,grlnd,jg,PN,famous
betty grable,bt,grbl,bg,PN,famous
peter lorre,ptr,lr,pl,PN,famous
fred macmurray,frd,mcmr,fm,PN,famous
ray milland,r,mlnd,rm,PN,famous
rosalind russell,rslnd,rsl,rr,PN,famous
george sanders,grg,sndrs,gs,PN,famous
margaret sullavan,mrgrt,slvn,ms,PN,famous
john wayne,jhn,wn,jw,PN,famous
john carradine,jhn,crdn,jc,PN,famous
joseph cotten,jsph,ctn,jc,PN,famous
rex harrison,rx,hrsn,rh,PN,famous
john houseman,jhn,hsmn,jh,PN,famous
john huston,jhn,hstn,jh,PN,famous
hedy lamarr,hd,lmr,hl,PN,famous
burgess meredith,brgs,mrdth,bm,PN,famous
ethel merman,thl,mrmn,em,PN,famous
maureen o'sullivan,mrn,'slvn,mo,PN,famous
gene autry,gn,tr,ga,PN,famous
rita hayworth,rt,hwrth,rh,PN,famous
william holden,wlm,hldn,wh,PN,famous
alexander knox,lxndr,knx,ak,PN,famous
ida lupino,d,lpn,il,PN,famous
james mason,jms,msn,jm,PN,famous
george mcfarland,grg,mcfrlnd,gm,PN,famous
anne revere,n,rvr,ar,PN,famous
orson welles,rsn,wls,ow,PN,famous
lucille ball,lcl,bl,lb,PN,famous
ingrid bergman,ngrd,brgmn,ib,PN,famous
robert donat,rbrt,dnt,rd,PN,famous
mildred dunnock,mldrd,dnck,md,PN,famous
geraldine fitzgerald,grldn,ftzgrld,gf,PN,famous
errol flynn,rl,fln,ef,PN,famous
john garfield,jhn,grfld,jg,PN,famous
bonita granville,bnt,grnvl,bg,PN,famous
alan ladd,ln,ld,al,PN,famous
hattie mcdaniel,ht,mcdnl,hm,PN,famous
john mills,jhn,mls,jm,PN,famous
david niven,dvd,nvn,dn,PN,famous
tyrone power,trn,pwr,tp,PN,famous
james stewart,jms,stwrt,js,PN,famous
gloria stuart,glr,strt,gs,PN,famous
akim tamiroff,km,tmrf,at,PN,famous
shirley temple,shrl,tmpl,st,PN,famous
tom tully,tm,tl,tt,PN,famous
jane wyman,jn,wmn,jw,PN,famous
eddie albert,d,lbrt,ea,PN,famous
montgomery clift,mntgmr,clft,mc,PN,famous
dorothy dandridge,drth,dndrdg,dd,PN,famous
lena horne,ln,hrn,lh,PN,famous
danny kaye,dn,k,dk,PN,famous
dorothy lamour,drth,lmr,dl,PN,famous
agnes moorehead,gns,mrhd,am,PN,famous
cesar romero,csr,rmr,cr,PN,famous
claire trevor,clr,trvr,ct,PN,famous
lee j. cobb,l,cb,check,PN,famous
hume cronyn,hm,crn,hc,PN,famous
peter finch,ptr,fnch,pf,PN,famous
alec guinness,lc,gns,ag,PN,famous
trevor howard,trvr,hwrd,th,PN,famous
sam jaffe,sm,jf,sj,PN,famous
ann sheridan,n,shrdn,as,PN,famous
robert taylor,rbrt,tlr,rt,PN,famous
chill wills,chl,wls,cw,PN,famous
jane wyatt,jn,wt,jw,PN,famous
don ameche,mch,,,PN,famous
red buttons,rd,btns,rb,PN,famous
broderick crawford,brdrck,crwfrd,bc,PN,famous
olivia de havilland,lv,hvlnd,check,PN,famous
josé ferrer,jsé,fr,jf,PN,famous
joan fontaine,jn,fntn,jf,PN,famous
burl ives,brl,vs,bi,PN,famous
van johnson,vn,jhnsn,vj,PN,famous
vincent price,vncnt,prc,vp,PN,famous
anthony quayle,nthn,ql,aq,PN,famous
roy rogers,r,rgrs,rr,PN,famous
ann rutherford,n,rthrfrd,ar,PN,famous
frank sinatra,frnk,sntr,fs,PN,famous
cornel wilde,crnl,wld,cw,PN,famous
desi arnaz,ds,rnz,da,PN,famous
william bendix,wlm,bndx,wb,PN,famous
lloyd bridges,ld,brdgs,lb,PN,famous
sonja henie,snj,hn,sh,PN,famous
wendy hiller,wnd,hlr,wh,PN,famous
edmond o'brien,dmnd,'brn,eo,PN,famous
anthony quinn,nthn,qn,aq,PN,famous
michael redgrave,mchl,rdgrv,mr,PN,famous
gale sondergaard,gl,sndrgrd,gs,PN,famous
richard todd,rchrd,td,rt,PN,famous
monty woolley,mnt,wl,mw,PN,famous
richard crenna,rchrd,crn,rc,PN,famous
dan dailey,dn,dl,dd,PN,famous
sabu,sb,,,PN,famous
richard farnsworth,rchrd,frnswrth,rf,PN,famous
mel ferrer,ml,fr,mf,PN,famous
greer garson,gr,grsn,gg,PN,famous
susan hayward,sn,hwrd,sh,PN,famous
celeste holm,clst,hlm,ch,PN,famous
ruth hussey,rth,hs,rh,PN,famous
carole landis,crl,lnds,cl,PN,famous
karl malden,krl,mldn,km,PN,famous
donald o'connor,dnld,'cnr,do,PN,famous
lana turner,ln,trnr,lt,PN,famous
jack albertson,jck,lbrtsn,ja,PN,famous
judy holliday,jd,hld,jh,PN,famous
lila kedrova,l,kdrv,lk,PN,famous
gene kelly,gn,kl,gk,PN,famous
margaret leighton,mrgrt,lghtn,ml,PN,famous
june lockhart,jn,lckhrt,jl,PN,famous
marcello mastroianni,mrcl,mstrn,mm,PN,famous
arthur o'connell,rthr,'cnl,ao,PN,famous
maureen o'hara,mrn,'hr,mo,PN,famous
robert preston,rbrt,prstn,rp,PN,famous
joyce redman,jc,rdmn,jr,PN,famous
gene tierney,gn,trn,gt,PN,famous
richard widmark,rchrd,wdmrk,rw,PN,famous
art carney,rt,crn,ac,PN,famous
cyd charisse,cd,chrs,cc,PN,famous
doris day,drs,d,dd,PN,famous
glenn ford,gln,frd,gf,PN,famous
hugh griffith,hgh,grfth,hg,PN,famous
ben johnson,bn,jhnsn,bj,PN,famous
celia johnson,cl,jhnsn,cj,PN,famous
jennifer jones,jnfr,jns,jj,PN,famous
veronica lake,vrnc,lk,vl,PN,famous
victor mature,vctr,mtr,vm,PN,famous
robert stack,rbrt,stck,rs,PN,famous
beatrice straight,btrc,strght,bs,PN,famous
robert walker,rbrt,wlkr,rw,PN,famous
oskar werner,skr,wrnr,ow,PN,famous
anne baxter,n,bxtr,ab,PN,famous
ruby dee,rb,d,rd,PN,famous
dexter gordon,dxtr,grdn,dg,PN,famous
arthur kennedy,rthr,knd,ak,PN,famous
deborah kerr,dbrh,kr,dk,PN,famous
dean martin,dn,mrtn,dm,PN,famous
terry moore,tr,mr,tm,PN,famous
susan peters,sn,ptrs,sp,PN,famous
robert ryan,rbrt,rn,rr,PN,famous
paul scofield,pl,scfld,ps,PN,famous
martha scott,mrth,sct,ms,PN,famous
peter ustinov,ptr,stnv,pu,PN,famous
gig young,g,ng,gy,PN,famous
ann blyth,n,blth,ab,PN,famous
yul brynner,l,brnr,yb,PN,famous
john dall,jhn,dl,jd,PN,famous
yvonne de carlo,vn,crl,check,PN,famous
ava gardner,v,grdnr,ag,PN,famous
jackie gleason,jck,glsn,jg,PN,famous
charlton heston,chrltn,hstn,ch,PN,famous
eleanor parker,lnr,prkr,ep,PN,famous
larry parks,lr,prks,lp,PN,famous
donna reed,dn,rd,dr,PN,famous
teresa wright,trs,wrght,tw,PN,famous
lauren bacall,lrn,bcl,lb,PN,famous
richard basehart,rchrd,bshrt,rb,PN,famous
kirk douglas,krk,dgls,kd,PN,famous
cloris leachman,clrs,lchmn,cl,PN,famous
