name,first,last,initials,pos,tags
edwin moses,dwn,ms,em,PN,famous
elaine may,ln,m,em,PN,famous
eli manning,l,mng,em,PN,famous
elie mechnikov,l,mchnkv,em,PN,famous
elie metchnikoff,l,mtchnkf,em,PN,famous
elijah moshinsky,ljh,mshnsk,em,PN,famous
elijah muhammad,ljh,mhmd,em,PN,famous
ellen markman,ln,mrkmn,em,PN,famous
ellen muth,ln,mth,em,PN,famous
elliot maddox,lt,mdx,em,PN,famous
eloise midgeon,ls,mdgn,em,PN,famous
emperor magus caligula,mpr,clgl,check,PN,famous
eric melvin,rc,mlvn,em,PN,famous
erich muhsam,rch,mhsm,em,PN,famous
erik mortensen,rk,mrtnsn,em,PN,famous
ernie mcmillan,rn,mcmln,em,PN,famous
ervin magic johnson,rvn,jhnsn,check,PN,famous
eugene meyer,gn,mr,em,PN,famous
eugenio mori,gn,mr,em,PN,famous
eva mendes,v,mnds,em,PN,famous
eva mozes,v,mzs,em,PN,famous
ewan mcgregor,wn,mcgrgr,em,PN,famous
ed newman,d,nwmn,en,PN,famous
edward norton,dwrd,nrtn,en,PN,famous
elliot n. dorff,lt,drf,check,PN,famous
emmy noether,m,nthr,en,PN,famous
emperor norton,mpr,nrtn,en,PN,famous
ernest nagel,rnst,ngl,en,PN,famous
ed o'brien,d,'brn,eo,PN,famous
eddie ojeda,d,jd,eo,PN,famous
elimelech of lezhinsk,lmlch,lzhnsk,el,PN,famous
erkan ogur,rkn,gr,eo,PN,famous
eugene ormandy,gn,rmnd,eo,PN,famous
eli pariser,l,prsr,ep,PN,famous
elisa pilotti,ls,plt,ep,PN,famous
elvis presley,lvs,prsl,ep,PN,famous
emeric pressburger,mrc,prsbrgr,ep,PN,famous
emil post,ml,pst,ep,PN,famous
emperor palpatine,mpr,plptn,ep,PN,famous
erik per sullivan,rk,slvn,check,PN,famous
ernie prang,rn,prng,ep,PN,famous
erwin panofsky,rwn,pnfsk,ep,PN,famous
estelle parsons,stl,prsns,ep,PN,famous
ewa podles,w,pdls,ep,PN,famous
ezio pinza,z,pnz,ep,PN,famous
ed rendell,d,rndl,er,PN,famous
ed rosenthal,d,rsnthl,er,PN,famous
eddie rabbitt,d,rbt,er,PN,famous
edward rendell,dwrd,rndl,er,PN,famous
edward rosewater,dwrd,rswtr,er,PN,famous
elmer rice,lmr,rc,er,PN,famous
emma roberts,m,rbrts,er,PN,famous
emmy rossum,m,rsm,er,PN,famous
eric r. kandel,rc,kndl,check,PN,famous
eric rohmer,rc,rhmr,er,PN,famous
erik rutan,rk,rtn,er,PN,famous
ernestine rose,rnstn,rs,er,PN,famous
ervin r. hafter,rvn,hftr,check,PN,famous
ethel rosenberg,thl,rsnbrg,er,PN,famous
eugen rosenstock-huessy,gn,rsnstck-hs,er,PN,famous
eugene robinson,gn,rbnsn,er,PN,famous
evan rachel wood,vn,wd,check,PN,famous
earnie shavers,rn,shvrs,es,PN,famous
ed snider,d,sndr,es,PN,famous
edith stein,dth,stn,es,PN,famous
edmond safra,dmnd,sfr,es,PN,famous
edward s. salomon,dwrd,slmn,check,PN,famous
edward sapir,dwrd,spr,es,PN,famous
edward scissorhands,dwrd,scsrhnds,es,PN,famous
edwin salpeter,dwn,slptr,es,PN,famous
efraim sevela,frm,svl,es,PN,famous
elias stein,ls,stn,es,PN,famous
eliot spitzer,lt,sptzr,es,PN,famous
elisabeth shue,lsbth,sh,es,PN,famous
eliza schneider,lz,schndr,es,PN,famous
elliot sharp,lt,shrp,es,PN,famous
elliot spitzer,lt,sptzr,es,PN,famous
emanuel schiffers,mnl,schfrs,es,PN,famous
emil sutovsky,ml,stvsk,es,PN,famous
emmitt smith,mt,smth,es,PN,famous
eon sinclair,n,snclr,es,PN,famous
eric schenkman,rc,schnkmn,es,PN,famous
eric segal,rc,sgl,es,PN,famous
eric singer,rc,sngr,es,PN,famous
eric steven raymond,rc,rmnd,check,PN,famous
erich segal,rch,sgl,es,PN,famous
erik satie,rk,st,es,PN,famous
erik smith,rk,smth,es,PN,famous
erle stanley gardner,rl,grdnr,check,PN,famous
esperanza spalding,sprnz,spldng,es,PN,famous
evan seinfeld of biohazard,vn,bhzrd,check,PN,famous
edward teller,dwrd,tlr,et,PN,famous
elizabeth taylor,lzbth,tlr,et,PN,famous
emmett till,mt,tl,et,PN,famous
ernst toch,rnst,tch,et,PN,famous
evan taubenfeld,vn,tbnfld,et,PN,famous
eddie van halen,d,hln,check,PN,famous
eddie vedder,d,vdr,ev,PN,famous
eerie von,r,vn,ev,PN,famous
elijah vilna,ljh,vln,ev,PN,famous
emmaline vance,mln,vnc,ev,PN,famous
emppu vuorinen,mp,vrn,ev,PN,famous
en vogue,n,vg,ev,PN,famous
erich von stroheim,rch,strhm,check,PN,famous
eugene volokh,gn,vlkh,ev,PN,famous
ed wynn,d,wn,ew,PN,famous
edgar winter,dgr,wntr,ew,PN,famous
edward witten,dwrd,wtn,ew,PN,famous
effie white,f,wht,ew,PN,famous
eli wallach,l,wlch,ew,PN,famous
elie wiesel,l,wsl,ew,PN,famous
elijah woods,ljh,wds,ew,PN,famous
emma watson,m,wtsn,ew,PN,famous
eric wilson,rc,wlsn,ew,PN,famous
eric wolf,rc,wlf,ew,PN,famous
erich wolfgang korngold,rch,krngld,check,PN,famous
ethan winogrand,thn,wngrnd,ew,PN,famous
eugene wigner,gn,wgnr,ew,PN,famous
evan wolfson,vn,wlfsn,ew,PN,famous
ezer weizman,zr,wzmn,ew,PN,famous
edward zorinsky,dwrd,zrnsk,ez,PN,famous
edward zwick,dwrd,zwck,ez,PN,famous
efrem zimbalist jr.,frm,jr.,check,PN,famous
enzo zirilli,nz,zrl,ez,PN,famous
ethan zohn,thn,zhn,ez,PN,famous
ezio zaccagnini,z,zcgn,ez,PN,famous
fala,fl,,,PN,famous
falco,flc,,,PN,famous
fang,fng,,,PN,famous
fantasia,fnts,,,PN,famous
faramir,frmr,,,PN,famous
ferdie,frd,,,PN,famous
fergie,frg,,,PN,famous
firenze,frnz,,,PN,famous
flanders,flndrs,,,PN,famous
flash,flsh,,,PN,famous
fluffy,flf,,,PN,famous
flyleaf,flf,,,PN,famous
francis  ford coppola,frncs,cpl,check,PN,famous
frasier,frsr,,,PN,famous
frezia,frz,,,PN,famous
frodo,frd,,,PN,famous
frosty,frst,,,PN,famous
fred & rose west,frd,wst,check,PN,famous
faraz anwar,frz,nwr,fa,PN,famous
fat albert and the cosby kids,ft,kds,check,PN,famous
fat albert,ft,lbrt,fa,PN,famous
felipe andreoli,flp,ndrl,fa,PN,famous
"feustel, andrew j.", ndrw j.,fstl,f,PN,famous
fiona apple,fn,pl,fa,PN,famous
frankie armstrong,frnk,rmstrng,fa,PN,famous
fred astaire,frd,str,fa,PN,famous
freddy adu,frd,d,fa,PN,famous
fabien barthez,fbn,brthz,fb,PN,famous
fanny brice,fn,brc,fb,PN,famous
fantasia barinno,fnts,brn,fb,PN,famous
felix bloch,flx,blch,fb,PN,famous
felix bressart,flx,brsrt,fb,PN,famous
filippo bertacche,flp,brtch,fb,PN,famous
flashlight brown,flshlght,brwn,fb,PN,famous
francesco branciamore,frncsc,brncmr,fb,PN,famous
francis buchholz,frncs,bchlz,fb,PN,famous
frank beard,frnk,brd,fb,PN,famous
frank bello,frnk,bl,fb,PN,famous
frank briggs,frnk,brgs,fb,PN,famous
frank bryce,frnk,brc,fb,PN,famous
frankie banali,frnk,bnl,fb,PN,famous
franz beckenbauer,frnz,bcknbr,fb,PN,famous
franz boas,frnz,bs,fb,PN,famous
frederick buechner,frdrck,bchnr,fb,PN,famous
frodo baggins,frd,bgns,fb,PN,famous
50 cent,50,cnt,5c,PN,famous
fabio cannavaro,fb,cnvr,fc,PN,famous
fanny crosby,fn,crsb,fc,PN,famous
felix cavaliere rascals,flx,rscls,check,PN,famous
ferdinand cohn,frdnd,chn,fc,PN,famous
"ferguson, christopher j.", chrstphr j.,frgsn,f,PN,famous
fidel castro,fdl,cstr,fc,PN,famous
"foale, c. michael", c. mchl,fl,f,PN,famous
foreststorn chico hamilton,frststrn,hmltn,check,PN,famous
francesca catalano,frncsc,ctln,fc,PN,famous
francesco corbetta,frncsc,crbt,fc,PN,famous
francesco corvino,frncsc,crvn,fc,PN,famous
francesco cusa,frncsc,cs,fc,PN,famous
francois couperin,frncs,cprn,fc,PN,famous
frank caliendo,frnk,clnd,fc,PN,famous
frank collin,frnk,cln,fc,PN,famous
frank colón,frnk,clón,fc,PN,famous
frederic chopin,frdrc,chpn,fc,PN,famous
furio chirico,fr,chrc,fc,PN,famous
fefe dobson,f,dbsn,fd,PN,famous
fleur delacour,flr,dlcr,fd,PN,famous
fran drescher,frn,drschr,fd,PN,famous
frank de pass,frnk,ps,check,PN,famous
franklin d. roosevelt,frnkln,rsvlt,check,PN,famous
franz di cioccio,frnz,c,check,PN,famous
frederick delius,frdrck,dls,fd,PN,famous
"fincke, e. michael", . mchl,fnck,f,PN,famous
fred ebb,frd,b,fe,PN,famous
farrah fawcett,frh,fwct,ff,PN,famous
fat fryer,ft,fr,ff,PN,famous
federico fellini,fdrc,fln,ff,PN,famous
felix frankfurter,flx,frnkfrtr,ff,PN,famous
filius flitwick,fls,fltwck,ff,PN,famous
florean fortesque,flrn,frtsq,ff,PN,famous
francis ford coppola,frncs,cpl,check,PN,famous
fred flintstone,frd,flntstn,ff,PN,famous
fred frith,frd,frth,ff,PN,famous
fritz feld,frtz,fld,ff,PN,famous
fritz freleng,frtz,frlng,ff,PN,famous
fyvush finkle,fvsh,fnkl,ff,PN,famous
family guy,fml,g,fg,PN,famous
fenrir greyback,fnr,grbck,fg,PN,famous
forrest gump,frst,gmp,fg,PN,famous
francis griffin,frncs,grfn,fg,PN,famous
francisco goya,frncsc,g,fg,PN,famous
frank gambale,frnk,gmbl,fg,PN,famous
frank gehry,frnk,ghr,fg,PN,famous
franklin graham,frnkln,grhm,fg,PN,famous
faith hill,fth,hl,fh,PN,famous
fannie hurst,fn,hrst,fh,PN,famous
fareed haque,frd,hq,fh,PN,famous
felicity huffman,flct,hfmn,fh,PN,famous
fernando hernandez leyva,frnd,lv,check,PN,famous
fiorello h. laguardia,frl,lgrd,check,PN,famous
fred hammond,frd,hmnd,fh,PN,famous
fred hellerman,frd,hlrmn,fh,PN,famous
fred hersch,frd,hrsch,fh,PN,famous
fritz haber,frtz,hbr,fh,PN,famous
fritz hauser,frtz,hsr,fh,PN,famous
fritz heider,frtz,hdr,fh,PN,famous
filippo inzaghi,flp,nzgh,fi,PN,famous
frank iero,frnk,r,fi,PN,famous
frank israel,frnk,srl,fi,PN,famous
fredrik isaksson,frdrk,sksn,fi,PN,famous
fat joe,ft,j,fj,PN,famous
flavius josephus,flvs,jsphs,fj,PN,famous
forrest j. ackerman,frst,ckrmn,check,PN,famous
francois jacob,frncs,jcb,fj,PN,famous
freddy jr miranda,frd,mrnd,check,PN,famous
frederick jacobi,frdrck,jcb,fj,PN,famous
"ford, kevin a.", kvn .,frd,f,PN,famous
forrest kline,frst,kln,fk,PN,famous
franz kafka,frnz,kfk,fk,PN,famous
franz kline,frnz,kln,fk,PN,famous
freddie king,frd,kng,fk,PN,famous
frederick knefler,frdrck,knflr,fk,PN,famous
frida kahlo,frd,khl,fk,PN,famous
fritz kreisler,frtz,krslr,fk,PN,famous
f. lee bailey,f.,bl,check,PN,famous
fat lady,ft,,,PN,famous
ferdinand lassalle,frdnd,lsl,fl,PN,famous
foghorn leghorn,fghrn,lghrn,fl,PN,famous
foghorn leghorn,fghrn,lghrn,fl,PN,famous
fran lebowitz,frn,lbwtz,fl,PN,famous
frank lautenberg,frnk,ltnbrg,fl,PN,famous
frank licht,frnk,lcht,fl,PN,famous
frank lloyd wright,frnk,wrght,check,PN,famous
frank loesser,frnk,lsr,fl,PN,famous
frank luntz,frnk,lntz,fl,PN,famous
franz liszt,frnz,lszt,fl,PN,famous
fred lipsius,frd,lps,fl,PN,famous
fred lukoff,frd,lkf,fl,PN,famous
frederic lacousse,frdrc,lcs,fl,PN,famous
frédéric leclercq,frédérc,lclrcq,fl,PN,famous
frederick loewe,frdrck,lw,fl,PN,famous
fritz lang,frtz,lng,fl,PN,famous
fritz leiber,frtz,lbr,fl,PN,famous
fritz lipmann,frtz,lpmn,fl,PN,famous
fritz london,frtz,lndn,fl,PN,famous
fanny mendelssohn hensel,fn,hnsl,check,PN,famous
fat mike,ft,mk,fm,PN,famous
fei mu,f,m,fm,PN,famous
felix mendelssohn,flx,mndlshn,fm,PN,famous
felix mendelssohn,flx,mndlshn,fm,PN,famous
ferdy mayne,frd,mn,fm,PN,famous
fernando medina,frnd,mdn,fm,PN,famous
fidel morales,fdl,mrls,fm,PN,famous
filippo mignatti,flp,mgnt,fm,PN,famous
fiona may,fn,m,fm,PN,famous
fito messina,ft,msn,fm,PN,famous
flattus maximus,flts,mxms,fm,PN,famous
floyd mayweather jr.,fld,jr.,check,PN,famous
"fossum, michael e.", mchl .,fsm,f,PN,famous
fox mulder,fx,mldr,fm,PN,famous
franco modigliani,frnc,mdgln,fm,PN,famous
frank marino,frnk,mrn,fm,PN,famous
franklin m. fisher,frnkln,fshr,check,PN,famous
freddie mercury,frd,mrcr,fm,PN,famous
frederick mckinley jones,frdrck,jns,check,PN,famous
fredric march,frdrc,mrch,fm,PN,famous
friedrich murnau,frdrch,mrn,fm,PN,famous
fritzi massary,frtz,msr,fm,PN,famous
finius nigelus,fns,ngls,fn,PN,famous
fall out boy,fl,b,fb,PN,famous
flannery o'connor,flnr,'cnr,fo,PN,famous
franc o'shea,frnc,'sh,fo,PN,famous
frank oz,frnk,z,fo,PN,famous
franz oppenheimer,frnz,pnhmr,fo,PN,famous
felicity porter,flct,prtr,fp,PN,famous
felix pappalardi,flx,plrd,fp,PN,famous
fiddler pig,fdlr,pg,fp,PN,famous
florence p. kahn,flrnc,khn,check,PN,famous
franco penatti,frnc,pnt,fp,PN,famous
frank peretti,frnk,prt,fp,PN,famous
frankie poullain,frnk,pln,fp,PN,famous
freddie prinze jr.,frd,jr.,check,PN,famous
freddie prinze sr.,frd,sr.,check,PN,famous
fritz perls,frtz,prls,fp,PN,famous
fabio rotondo,fb,rtnd,fr,PN,famous
flo rida,fl,rd,fr,PN,famous
forrest robinson,frst,rbnsn,fr,PN,famous
francis rocco prestia,frncs,prst,check,PN,famous
francis rossi,frncs,rs,fr,PN,famous
frank reich,frnk,rch,fr,PN,famous
frank rich,frnk,rch,fr,PN,famous
frank rosenblatt,frnk,rsnblt,fr,PN,famous
frank russo,frnk,rs,fr,PN,famous
franklin richards,frnkln,rchrds,fr,PN,famous
franz rosenzweig,frnz,rsnzwg,fr,PN,famous
fred reinfeld,frd,rnfld,fr,PN,famous
fred rogers,frd,rgrs,fr,PN,famous
frederick reines,frdrck,rns,fr,PN,famous
fritz reiner,frtz,rnr,fr,PN,famous
f. scott fitzgerald,f.,ftzgrld,check,PN,famous
fernando sor,frnd,sr,fs,PN,famous
fisher stevens,fshr,stvns,fs,PN,famous
frances slanger,frncs,slngr,fs,PN,famous
francis salvador,frncs,slvdr,fs,PN,famous
francis schaeffer,frncs,schfr,fs,PN,famous
francis scott key,frncs,k,check,PN,famous
frank shuster,frnk,shstr,fs,PN,famous
frank silvera,frnk,slvr,fs,PN,famous
frank sinatra,frnk,sntr,fs,PN,famous
frankie sullivan,frnk,slvn,fs,PN,famous
franz schreker,frnz,schrkr,fs,PN,famous
franz schubert,frnz,schbrt,fs,PN,famous
franz-joseph selig,frnz-jsph,slg,fs,PN,famous
fred savage,frd,svg,fs,PN,famous
fred shuttlesworth,frd,shtlswrth,fs,PN,famous
fred silverman,frd,slvrmn,fs,PN,famous
fred smith,frd,smth,fs,PN,famous
fred sonic smith,frd,smth,check,PN,famous
freddie stone,frd,stn,fs,PN,famous
fredy studer,frd,stdr,fs,PN,famous
friedrich schorr,frdrch,schr,fs,PN,famous
felix the cat,flx,ct,fc,PN,famous
felix tikotin,flx,tktn,ft,PN,famous
flash thompson,flsh,thmpsn,ft,PN,famous
francesco totti,frncsc,t,ft,PN,famous
francisco tarrega,frncsc,trg,ft,PN,famous
francois truffaut,frncs,trft,ft,PN,famous
fred tackett,frd,tckt,ft,PN,famous
fred thompson,frd,thmpsn,ft,PN,famous
fred turner,frd,trnr,ft,PN,famous
fritz the cat,frtz,ct,fc,PN,famous
farin urlaub,frn,rlb,fu,PN,famous
futoshi uehara,ftsh,hr,fu,PN,famous
faye valentine,f,vlntn,fv,PN,famous
franklin vanderbilt,frnkln,vndrblt,fv,PN,famous
frank wolff,frnk,wlf,fw,PN,famous
franz waxman,frnz,wxmn,fw,PN,famous
fred weasley,frd,wsl,fw,PN,famous
frederick wiseman,frdrck,wsmn,fw,PN,famous
florenz ziegfeld,flrnz,zgfld,fz,PN,famous
frank zappa,frnk,zp,fz,PN,famous
fred zinneman,frd,znmn,fz,PN,famous
galadriel,gldrl,,,PN,famous
gambit,gmbt,,,PN,famous
gandalf,gndlf,,,PN,famous
garfield,grfld,,,PN,famous
gedaliah,gdlh,,,PN,famous
gershom,grshm,,,PN,famous
gersonides,grsnds,,,PN,famous
gideon,gdn,,,PN,famous
gil,gl,,,PN,famous
gimli,gml,,,PN,famous
goku,gk,,,PN,famous
gollum,glm,,,PN,famous
gollum,glm,,,PN,famous
goofy,gf,,,PN,famous
gouldman,gldmn,,,PN,famous
grampa,grmp,,,PN,famous
grawp,grwp,,,PN,famous
greedo,grd,,,PN,famous
grimm,grm,,,PN,famous
grinch,grnch,,,PN,famous
guster,gstr,,,PN,famous
ganon,gn,,,PN,famous
ganzack,gnzck,,,PN,famous
gargoyle,grgl,,,PN,famous
garuda,grd,,,PN,famous
gntarl,gntrl,,,PN,famous
guts,gts,,,PN,famous
gail ann dorsey,gl,drs,check,PN,famous
garrett augustus morgan,grt,mrgn,check,PN,famous
gary ackerman,gr,ckrmn,ga,PN,famous
gary allan,gr,ln,ga,PN,famous
gary auerbach,gr,rbch,ga,PN,famous
gem archer,gm,rchr,ga,PN,famous
george akerlof,grg,krlf,ga,PN,famous
george axelrod,grg,xlrd,ga,PN,famous
gerald abrahams,grld,brhms,ga,PN,famous
giampaolo ascolese,gmpl,scls,ga,PN,famous
gilbert adrian,glbrt,drn,ga,PN,famous
gloria allred,glr,lrd,ga,PN,famous
grand admiral thrawn,grnd,thrwn,check,PN,famous
grape ape,grp,p,ga,PN,famous
green arrow,grn,rw,ga,PN,famous
gregg allman,grg,lmn,ga,PN,famous
guido alberto fano,gd,fn,check,PN,famous
gwyn ashton,gwn,shtn,ga,PN,famous
garth brooks,grth,brks,gb,PN,famous
gary becker,gr,bckr,gb,PN,famous
gary bettman,gr,btmn,gb,PN,famous
gary burghoff,gr,brghf,gb,PN,famous
gary busey,gr,bs,gb,PN,famous
geezer butler,gzr,btlr,gb,PN,famous
gene barry,gn,br,gb,PN,famous
george benson,grg,bnsn,gb,PN,famous
george boolos,grg,bls,gb,PN,famous
george burns,grg,brns,gb,PN,famous
george byron,grg,brn,gb,PN,famous
georges bizet,grgs,bzt,gb,PN,famous
gerard butler,grd,btlr,gb,PN,famous
gianni branca,gn,brnc,gb,PN,famous
gladys bronwyn stern,glds,strn,check,PN,famous
glen benton,gln,bntn,gb,PN,famous
glen buxton,gln,bxtn,gb,PN,famous
glenn barry,gln,br,gb,PN,famous
gob bluth,gb,blth,gb,PN,famous
gordon banks,grdn,bnks,gb,PN,famous
gordon brown,grdn,brwn,gb,PN,famous
gordon bunshaft,grdn,bnshft,gb,PN,famous
gregg bendian,grg,bndn,gb,PN,famous
guion bluford,gn,blfrd,gb,PN,famous
guy berryman,g,brmn,gb,PN,famous
gypsy boots,gps,bts,gb,PN,famous
gyula breyer,gl,br,gb,PN,famous
g. c. green,g.,grn,check,PN,famous
gabrielle carteris,gbrl,crtrs,gc,PN,famous
gary carter,gr,crtr,gc,PN,famous
gary chester,gr,chstr,gc,PN,famous
gary cooper,gr,cpr,gc,PN,famous
gaz coombes,gz,cmbs,gc,PN,famous
georg cantor,grg,cntr,gc,PN,famous
george carlin,grg,crln,gc,PN,famous
george clooney,grg,cln,gc,PN,famous
george cukor,grg,ckr,gc,PN,famous
georges charpak,grgs,chrpk,gc,PN,famous
gerald casale,grld,csl,gc,PN,famous
gerty cori,grt,cr,gc,PN,famous
gilby clarke,glb,clrk,gc,PN,famous
giulio caneponi,gl,cnpn,gc,PN,famous
glen campbell,gln,cmpbl,gc,PN,famous
glenn cornick,gln,crnck,gc,PN,famous
goby catt,gb,ct,gc,PN,famous
graham coxon,grhm,cxn,gc,PN,famous
grant collins,grnt,clns,gc,PN,famous
greg camp,grg,cmp,gc,PN,famous
greg christian,grg,chrstn,gc,PN,famous
gregori chad petree,grgr,ptr,check,PN,famous
gregory chaitin,grgr,chtn,gc,PN,famous
gabrielle delacour,gbrl,dlcr,gd,PN,famous
gaetano donizetti,gtn,dnzt,gd,PN,famous
gail devers,gl,dvrs,gd,PN,famous
garron dupree,grn,dpr,gd,PN,famous
gary duncan,gr,dncn,gd,PN,famous
geoff downes,gf,dwns,gd,PN,famous
george d. zamka,grg,zmk,check,PN,famous
george dantzig,grg,dntzg,gd,PN,famous
george david weiss,grg,ws,check,PN,famous
george de hevesy,grg,hvs,check,PN,famous
george duke,grg,dk,gd,PN,famous
gerard depardieu,grd,dprd,gd,PN,famous
gilles de rays,gls,rs,check,PN,famous
giuseppe de paola,gsp,pl,check,PN,famous
glen drover,gln,drvr,gd,PN,famous
glenn danzig,gln,dnzg,gd,PN,famous
grandma duck,grndm,dck,gd,PN,famous
greena davis,grn,dvs,gd,PN,famous
garrett easley,grt,sl,ge,PN,famous
george eastman,grg,stmn,ge,PN,famous
gerald edelman,grld,dlmn,ge,PN,famous
gertrude elion,grtrd,ln,ge,PN,famous
gloria estafan,glr,stfn,ge,PN,famous
george foreman,grg,frmn,gf,PN,famous
george frideric handel,grg,hndl,check,PN,famous
george frideric handel,grg,hndl,check,PN,famous
gerald ford,grld,frd,gf,PN,famous
giora feidman,gr,fdmn,gf,PN,famous
giselle fernandez,gsl,frndz,gf,PN,famous
giuseppe filianoti,gsp,flnt,gf,PN,famous
glen frey,gln,fr,gf,PN,famous
glenn frey,gln,fr,gf,PN,famous
guggenheim family,gnhm,fml,gf,PN,famous
galileo galilei,gl,gl,gg,PN,famous
garry gary beers,gr,brs,check,PN,famous
gary gulman,gr,glmn,gg,PN,famous
general grievous,gnrl,grvs,gg,PN,famous
george gershwin,grg,grshwn,gg,PN,famous
george gershwin,grg,grshwn,gg,PN,famous
gerry goffin,gr,gfn,gg,PN,famous
gilbert gottfried,glbrt,gtfrd,gg,PN,famous
gina gershon,gn,grshn,gg,PN,famous
gisela gresser,gsl,grsr,gg,PN,famous
glastone gander,glstn,gndr,gg,PN,famous
gloria gaither,glr,gthr,gg,PN,famous
gloria gaynor,glr,gnr,gg,PN,famous
godric gryffindor,gdrc,grfndr,gg,PN,famous
gordon giltrap,grdn,gltrp,gg,PN,famous
gordon gould,grdn,gld,gg,PN,famous
graham gouldman,grhm,gldmn,gg,PN,famous
green giant,grn,gnt,gg,PN,famous
greg g-mo moore,grg,mr,check,PN,famous
greg garbowsky,grg,grbwsk,gg,PN,famous
greg ginn,grg,gn,gg,PN,famous
greg graffin,grg,grfn,gg,PN,famous
gregg gerson,grg,grsn,gg,PN,famous
gregory goyle,grgr,gl,gg,PN,famous
greta garbo,grt,grb,gg,PN,famous
gyro gearlose,gr,grls,gg,PN,famous
gaby hoffmann,gb,hfmn,gh,PN,famous
garth hudson,grth,hdsn,gh,PN,famous
gary hirsch,gr,hrsch,gh,PN,famous
gary husband,gr,hsbnd,gh,PN,famous
gavin harrison,gvn,hrsn,gh,PN,famous
gene hackman,gn,hckmn,gh,PN,famous
genji hakuryu,gnj,hkr,gh,PN,famous
george harrison,grg,hrsn,gh,PN,famous
george herbert walker bush,grg,bsh,check,PN,famous
gerry hemingway,gr,hmngw,gh,PN,famous
giovanni hidalgo,gvn,hdlg,gh,PN,famous
glenn hughes,gln,hghs,gh,PN,famous
goldie hawn,gld,hwn,gh,PN,famous
greg hetson,grg,htsn,gh,PN,famous
greg howe,grg,hw,gh,PN,famous
gregory hines,grgr,hns,gh,PN,famous
guy hall,g,hl,gh,PN,famous
giancarlo ippolito,gncrl,plt,gi,PN,famous
gianni insalata,gn,nslt,gi,PN,famous
giovanni imparato,gvn,mprt,gi,PN,famous
george jessel,grg,jsl,gj,PN,famous
george jetson,grg,jtsn,gj,PN,famous
george jones,grg,jns,gj,PN,famous
gerald jay sussman,grld,smn,check,PN,famous
glen jacobs,gln,jcbs,gj,PN,famous
gordon johnson,grdn,jhnsn,gj,PN,famous
grant jeffries,grnt,jfrs,gj,PN,famous
gwenog jones,gwng,jns,gj,PN,famous
g. k. chesterton,g.,chstrtn,check,PN,famous
g. k. chesterton,g.,chstrtn,check,PN,famous
gabe kaplan,gb,kpln,gk,PN,famous
gabriel kaplan,gbrl,kpln,gk,PN,famous
garry kasparov,gr,ksprv,gk,PN,famous
gary kasparov,gr,ksprv,gk,PN,famous
gary kemp,gr,kmp,gk,PN,famous
geoff kresge,gf,krsg,gk,PN,famous
george koltanowski,grg,kltnwsk,gk,PN,famous
gil kane,gl,kn,gk,PN,famous
gisela kahn gresser,gsl,grsr,check,PN,famous
gladys knight,glds,knght,gk,PN,famous
grace kelly,grc,kl,gk,PN,famous
greg kriesel,grg,krsl,gk,PN,famous
grutle kjellson,grtl,kjlsn,gk,PN,famous
gabriel lippmann,gbrl,lpmn,gl,PN,famous
gary lenaire,gr,lnr,gl,PN,famous
gary leon ridgway,gr,rdgw,check,PN,famous
gary levox,gr,lvx,gl,PN,famous
gary lucas,gr,lcs,gl,PN,famous
geddy lee  of rush,gd,rsh,check,PN,famous
geddy lee,gd,l,gl,PN,famous
geoffrey lyall,gfr,l,gl,PN,famous
george lakoff,grg,lkf,gl,PN,famous
george london,grg,lndn,gl,PN,famous
george lopez,grg,lpz,gl,PN,famous
george lucas,grg,lcs,gl,PN,famous
george lynch,grg,lnch,gl,PN,famous
gerda lerner,grd,lrnr,gl,PN,famous
gildaroy lockheart,gldr,lckhrt,gl,PN,famous
giuseppe lacava,gsp,lcv,gl,PN,famous
glen leonard,gln,lnrd,gl,PN,famous
gloria leonard,glr,lnrd,gl,PN,famous
gordon lightfoot,grdn,lghtft,gl,PN,famous
graham lewis,grhm,lws,gl,PN,famous
greg lake,grg,lk,gl,PN,famous
grey lady,gr,,,PN,famous
gustav ludwig hertz,gstv,hrtz,check,PN,famous
gyorgy ligeti,grg,lgt,gl,PN,famous
gabriel macht,gbrl,mcht,gm,PN,famous
gabriela mistral,gbrl,mstrl,gm,PN,famous
garry marshall,gr,mrshl,gm,PN,famous
gary mallaber,gr,mlbr,gm,PN,famous
gary marcus,gr,mrcs,gm,PN,famous
gary marshall,gr,mrshl,gm,PN,famous
gary moore,gr,mr,gm,PN,famous
gary mounfield,gr,mnfld,gm,PN,famous
gary myrick havana 3am),gr,3m),check,PN,famous
gavin mccloud,gvn,mcld,gm,PN,famous
gene morrell,gn,mrl,gm,PN,famous
general madine,gnrl,mdn,gm,PN,famous
george michael,grg,mchl,gm,PN,famous
george mikes,grg,mks,gm,PN,famous
george mueller,grg,mlr,gm,PN,famous
george murray,grg,mr,gm,PN,famous
gerd muller,grd,mlr,gm,PN,famous
gerry marsden,gr,mrsdn,gm,PN,famous
gerry mcavoy,gr,mcv,gm,PN,famous
giacomo meyerbeer,gcm,mrbr,gm,PN,famous
gianfranco masi,gnfrnc,ms,gm,PN,famous
gilbert montagné,glbrt,mntgné,gm,PN,famous
glen matlock,gln,mtlck,gm,PN,famous
glenn mac,gln,mc,gm,PN,famous
golda meir,gld,mr,gm,PN,famous
